Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Date,Day_Type,Educational_Time,Recreational_Time
9,Male,7.07,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,6-10,2025-10-16,Weekday,2.8987,4.1713000000000005
18,Female,5.21,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,16-20,2025-10-12,Weekend,2.2403,2.9697
12,Female,5.18,TV,True,0.44,None,Rural,11-15,2025-10-14,Weekday,2.2792,2.9008
14,Female,4.89,Smartphone,True,0.4,None,Rural,11-15,2025-10-18,Weekend,1.956,2.9339999999999997
15,Female,4.64,Laptop,True,0.37,Poor Sleep,Urban,11-15,2025-10-05,Weekend,1.7167999999999999,2.9231999999999996
8,Male,3.16,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-15,Weekday,1.3904,1.7696
13,Female,4.45,TV,True,0.47,"Poor Sleep, Anxiety",Urban,11-15,2025-10-17,Weekday,2.0915,2.3585000000000003
8,Male,3.42,Tablet,True,0.54,"Poor Sleep, Eye Strain, Anxiety",Urban,6-10,2025-10-18,Weekend,1.8468,1.5732
9,Female,1.62,Smartphone,False,0.48,None,Urban,6-10,2025-10-19,Weekend,0.7776000000000001,0.8424
8,Male,6.88,Smartphone,True,0.56,None,Urban,6-10,2025-10-28,Weekday,3.8528000000000002,3.0271999999999997
18,Male,6.4,TV,True,0.48,None,Urban,16-20,2025-10-11,Weekend,3.072,3.3280000000000003
12,Female,2.44,Smartphone,False,0.41,None,Urban,11-15,2025-10-13,Weekday,1.0004,1.4396
17,Male,5.76,Smartphone,True,0.31,Poor Sleep,Urban,16-20,2025-10-20,Weekday,1.7855999999999999,3.9744
16,Female,5.25,TV,True,0.44,"Poor Sleep, Anxiety, Obesity Risk",Urban,16-20,2025-10-18,Weekend,2.31,2.94
13,Male,4.93,Laptop,True,0.33,None,Urban,11-15,2025-10-15,Weekday,1.6269,3.3030999999999997
18,Male,5.54,Laptop,True,0.36,"Eye Strain, Anxiety",Rural,16-20,2025-10-14,Weekday,1.9944,3.5456000000000003
18,Male,4.77,TV,True,0.43,None,Urban,16-20,2025-10-27,Weekday,2.0511,2.7188999999999997
8,Female,2.03,TV,True,0.47,None,Rural,6-10,2025-10-09,Weekday,0.9540999999999998,1.0758999999999999
8,Male,1.02,TV,False,0.46,None,Urban,6-10,2025-10-18,Weekend,0.4692,0.5508
9,Female,3.98,Smartphone,True,0.55,Poor Sleep,Urban,6-10,2025-10-31,Weekday,2.189,1.791
16,Female,3.63,Smartphone,True,0.32,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-14,Weekday,1.1616,2.4684
10,Female,3.27,TV,True,0.55,Poor Sleep,Urban,6-10,2025-10-20,Weekday,1.7985000000000002,1.4714999999999998
8,Female,5.91,TV,True,0.51,Poor Sleep,Rural,6-10,2025-10-14,Weekday,3.0141,2.8959
12,Female,5.09,Smartphone,True,0.31,"Poor Sleep, Eye Strain, Anxiety",Urban,11-15,2025-10-01,Weekday,1.5778999999999999,3.5121
14,Female,5.27,Laptop,True,0.33,"Poor Sleep, Anxiety",Urban,11-15,2025-10-30,Weekday,1.7390999999999999,3.5309
13,Male,4.63,Tablet,True,0.42,Eye Strain,Rural,11-15,2025-10-24,Weekday,1.9445999999999999,2.6854
8,Female,0.0,Smartphone,False,0.54,None,Urban,6-10,2025-10-06,Weekday,0.0,0.0
12,Male,4.79,Tablet,True,0.44,Poor Sleep,Urban,11-15,2025-10-11,Weekend,2.1076,2.6824
12,Female,4.19,Laptop,True,0.36,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-07,Weekday,1.5084000000000002,2.6816000000000004
13,Male,3.26,Smartphone,True,0.41,"Poor Sleep, Obesity Risk",Urban,11-15,2025-10-15,Weekday,1.3365999999999998,1.9234
10,Female,4.19,TV,True,0.44,"Poor Sleep, Obesity Risk",Urban,6-10,2025-10-15,Weekday,1.8436000000000001,2.3464
12,Female,3.69,TV,True,0.42,"Poor Sleep, Eye Strain",Rural,11-15,2025-10-25,Weekend,1.5497999999999998,2.1402
14,Male,3.18,Smartphone,True,0.41,Poor Sleep,Urban,11-15,2025-10-15,Weekday,1.3038,1.8762
12,Female,3.65,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,11-15,2025-10-23,Weekday,1.5695,2.0805
12,Female,5.15,TV,True,0.36,None,Urban,11-15,2025-10-29,Weekday,1.854,3.2960000000000003
12,Female,4.83,TV,True,0.42,Eye Strain,Urban,11-15,2025-10-31,Weekday,2.0286,2.8014
17,Female,6.38,Smartphone,True,0.34,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-19,Weekend,2.1692,4.2108
17,Female,4.83,Laptop,True,0.36,Poor Sleep,Urban,16-20,2025-10-07,Weekday,1.7388,3.0912
10,Male,0.0,Smartphone,False,0.5,None,Urban,6-10,2025-10-14,Weekday,0.0,0.0
8,Female,3.58,Smartphone,True,0.41,"Poor Sleep, Anxiety",Rural,6-10,2025-10-05,Weekend,1.4678,2.1122
12,Male,6.08,TV,True,0.42,Eye Strain,Urban,11-15,2025-10-28,Weekday,2.5536,3.5264
16,Female,4.65,Tablet,True,0.33,"Poor Sleep, Anxiety",Urban,16-20,2025-10-21,Weekday,1.5345000000000002,3.1155
8,Male,3.32,Tablet,True,0.42,"Poor Sleep, Eye Strain",Rural,6-10,2025-10-18,Weekend,1.3943999999999999,1.9256
10,Male,0.46,TV,False,0.53,None,Rural,6-10,2025-10-25,Weekend,0.24380000000000002,0.2162
11,Female,2.3,Tablet,False,0.39,None,Urban,11-15,2025-10-23,Weekday,0.8969999999999999,1.403
8,Male,0.0,TV,False,0.49,None,Urban,6-10,2025-10-22,Weekday,0.0,0.0
8,Male,10.12,TV,True,0.53,Poor Sleep,Urban,6-10,2025-10-18,Weekend,5.3636,4.756399999999999
15,Male,3.18,Laptop,True,0.49,None,Urban,11-15,2025-10-13,Weekday,1.5582,1.6218000000000001
9,Male,2.06,TV,True,0.57,None,Urban,6-10,2025-10-01,Weekday,1.1742,0.8858000000000001
15,Male,4.89,TV,True,0.49,Obesity Risk,Urban,11-15,2025-10-12,Weekend,2.3960999999999997,2.4939
14,Male,3.02,Tablet,True,0.47,None,Rural,11-15,2025-10-15,Weekday,1.4194,1.6006
17,Male,2.97,Tablet,False,0.46,None,Urban,16-20,2025-10-18,Weekend,1.3662,1.6038000000000001
17,Female,3.2,Smartphone,True,0.47,None,Urban,16-20,2025-10-07,Weekday,1.504,1.6960000000000002
9,Female,7.87,Tablet,True,0.6,None,Urban,6-10,2025-10-09,Weekday,4.7219999999999995,3.1480000000000006
13,Female,6.76,Smartphone,True,0.44,None,Urban,11-15,2025-10-02,Weekday,2.9743999999999997,3.7856
13,Male,5.3,Smartphone,True,0.46,Poor Sleep,Urban,11-15,2025-10-18,Weekend,2.438,2.8619999999999997
10,Female,3.49,Smartphone,True,0.52,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-20,Weekday,1.8148000000000002,1.6752
18,Female,3.3,TV,True,0.41,Poor Sleep,Urban,16-20,2025-10-14,Weekday,1.3529999999999998,1.947
9,Male,1.04,TV,False,0.52,None,Urban,6-10,2025-10-14,Weekday,0.5408000000000001,0.4992
8,Female,0.0,Smartphone,False,0.54,None,Rural,6-10,2025-10-12,Weekend,0.0,0.0
13,Female,5.51,TV,True,0.34,"Poor Sleep, Obesity Risk",Urban,11-15,2025-10-03,Weekday,1.8734,3.6365999999999996
12,Female,3.99,Laptop,True,0.46,Eye Strain,Urban,11-15,2025-10-18,Weekend,1.8354000000000001,2.1546000000000003
18,Male,2.7,Laptop,False,0.33,None,Urban,16-20,2025-10-31,Weekday,0.8910000000000001,1.8090000000000002
16,Female,5.13,Smartphone,True,0.48,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-27,Weekday,2.4623999999999997,2.6676
8,Male,1.65,TV,False,0.46,None,Rural,6-10,2025-10-07,Weekday,0.759,0.8909999999999999
14,Female,3.54,Smartphone,True,0.37,Poor Sleep,Urban,11-15,2025-10-24,Weekday,1.3098,2.2302
12,Male,4.54,TV,True,0.48,Anxiety,Rural,11-15,2025-10-19,Weekend,2.1792,2.3608000000000002
12,Male,4.06,TV,True,0.43,Anxiety,Rural,11-15,2025-10-26,Weekend,1.7457999999999998,2.3141999999999996
9,Female,2.71,TV,True,0.45,None,Urban,6-10,2025-10-19,Weekend,1.2195,1.4905
18,Male,5.15,Smartphone,True,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban,16-20,2025-10-07,Weekday,1.854,3.2960000000000003
10,Female,9.22,TV,True,0.55,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-24,Weekday,5.071000000000001,4.149
14,Female,6.79,Tablet,True,0.41,None,Rural,11-15,2025-10-16,Weekday,2.7839,4.0061
13,Female,3.33,Smartphone,True,0.37,Obesity Risk,Rural,11-15,2025-10-06,Weekday,1.2321,2.0979
9,Female,6.23,TV,True,0.52,Poor Sleep,Urban,6-10,2025-10-19,Weekend,3.2396000000000003,2.9904
13,Female,3.71,TV,True,0.32,Poor Sleep,Urban,11-15,2025-10-19,Weekend,1.1872,2.5228
9,Male,5.25,Tablet,True,0.54,"Eye Strain, Anxiety",Urban,6-10,2025-10-10,Weekday,2.835,2.415
9,Male,6.78,TV,True,0.45,Poor Sleep,Rural,6-10,2025-10-30,Weekday,3.051,3.729
9,Male,3.37,Smartphone,True,0.54,Poor Sleep,Urban,6-10,2025-10-05,Weekend,1.8198,1.5502
18,Male,4.01,Smartphone,True,0.37,"Anxiety, Obesity Risk",Urban,16-20,2025-10-15,Weekday,1.4836999999999998,2.5263
10,Male,5.74,TV,True,0.41,Poor Sleep,Urban,6-10,2025-10-20,Weekday,2.3534,3.3866
9,Male,11.0,Smartphone,True,0.58,"Poor Sleep, Eye Strain",Rural,6-10,2025-10-03,Weekday,6.38,4.62
11,Female,5.01,Smartphone,True,0.48,Obesity Risk,Urban,11-15,2025-10-01,Weekday,2.4048,2.6052
16,Male,3.08,Smartphone,True,0.4,Poor Sleep,Urban,16-20,2025-10-25,Weekend,1.2320000000000002,1.8479999999999999
13,Female,5.65,Smartphone,True,0.31,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-15,Weekday,1.7515,3.8985000000000003
8,Female,6.02,TV,True,0.44,None,Urban,6-10,2025-10-05,Weekend,2.6488,3.3711999999999995
15,Female,4.34,Smartphone,True,0.38,Poor Sleep,Rural,11-15,2025-10-04,Weekend,1.6492,2.6908
14,Female,3.83,Smartphone,True,0.34,Poor Sleep,Urban,11-15,2025-10-13,Weekday,1.3022,2.5278
17,Male,4.42,TV,True,0.49,Eye Strain,Rural,16-20,2025-10-26,Weekend,2.1658,2.2542
10,Male,3.58,TV,True,0.59,"Poor Sleep, Anxiety",Urban,6-10,2025-10-19,Weekend,2.1122,1.4678
8,Male,11.97,Tablet,True,0.43,Poor Sleep,Rural,6-10,2025-10-14,Weekday,5.1471,6.822900000000001
12,Female,5.07,Smartphone,True,0.34,Anxiety,Urban,11-15,2025-10-07,Weekday,1.7238000000000002,3.3462
11,Female,3.99,Smartphone,True,0.35,None,Urban,11-15,2025-10-15,Weekday,1.3965,2.5935
17,Male,5.73,Smartphone,True,0.45,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-01,Weekday,2.5785000000000005,3.1515
15,Female,5.77,TV,True,0.45,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-22,Weekday,2.5965,3.1734999999999998
8,Female,6.44,Smartphone,True,0.59,Obesity Risk,Urban,6-10,2025-10-06,Weekday,3.7996,2.6404000000000005
17,Male,3.52,TV,True,0.45,Obesity Risk,Rural,16-20,2025-10-18,Weekend,1.584,1.936
8,Female,7.04,Smartphone,True,0.57,Anxiety,Rural,6-10,2025-10-05,Weekend,4.0127999999999995,3.0272000000000006
11,Female,3.64,Laptop,True,0.41,Eye Strain,Rural,11-15,2025-10-25,Weekend,1.4924,2.1476
15,Female,6.59,Smartphone,True,0.46,Poor Sleep,Urban,11-15,2025-10-01,Weekday,3.0314,3.5585999999999998
12,Female,3.19,Tablet,True,0.34,Anxiety,Urban,11-15,2025-10-18,Weekend,1.0846,2.1054
9,Male,1.88,TV,False,0.45,None,Rural,6-10,2025-10-05,Weekend,0.846,1.0339999999999998
13,Female,2.17,Smartphone,False,0.34,None,Urban,11-15,2025-10-24,Weekday,0.7378,1.4322
12,Female,4.65,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-24,Weekday,2.0460000000000003,2.604
9,Male,0.0,Smartphone,False,0.41,None,Urban,6-10,2025-10-13,Weekday,0.0,0.0
18,Male,7.04,TV,True,0.31,None,Urban,16-20,2025-10-17,Weekday,2.1824,4.8576
18,Male,5.26,Smartphone,True,0.36,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-01,Weekday,1.8936,3.3663999999999996
18,Female,5.02,Laptop,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,16-20,2025-10-30,Weekday,2.1586,2.8613999999999997
10,Male,4.79,TV,True,0.46,Eye Strain,Urban,6-10,2025-10-10,Weekday,2.2034000000000002,2.5866
16,Male,5.58,Smartphone,True,0.45,Eye Strain,Urban,16-20,2025-10-19,Weekend,2.511,3.069
14,Female,5.91,Smartphone,True,0.48,Poor Sleep,Rural,11-15,2025-10-06,Weekday,2.8367999999999998,3.0732000000000004
14,Male,4.41,Tablet,True,0.4,"Poor Sleep, Obesity Risk",Urban,11-15,2025-10-11,Weekend,1.7640000000000002,2.646
18,Male,3.05,TV,True,0.48,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-21,Weekday,1.464,1.5859999999999999
13,Male,4.99,TV,True,0.36,None,Urban,11-15,2025-10-14,Weekday,1.7964,3.1936
15,Female,2.43,Smartphone,False,0.43,None,Rural,11-15,2025-10-28,Weekday,1.0449000000000002,1.3851
11,Female,4.24,Smartphone,True,0.34,None,Urban,11-15,2025-10-29,Weekday,1.4416000000000002,2.7984
15,Male,4.9,Tablet,True,0.46,Poor Sleep,Urban,11-15,2025-10-18,Weekend,2.2540000000000004,2.646
11,Female,5.1,Smartphone,True,0.36,None,Urban,11-15,2025-10-04,Weekend,1.8359999999999999,3.264
15,Female,4.38,Laptop,True,0.48,None,Rural,11-15,2025-10-18,Weekend,2.1024,2.2776
16,Female,4.84,Laptop,True,0.43,None,Urban,16-20,2025-10-10,Weekday,2.0812,2.7588
10,Female,7.16,TV,True,0.44,Poor Sleep,Urban,6-10,2025-10-20,Weekday,3.1504,4.009600000000001
10,Female,3.0,TV,True,0.47,None,Urban,6-10,2025-10-27,Weekday,1.41,1.59
18,Female,3.95,Smartphone,True,0.39,Poor Sleep,Urban,16-20,2025-10-13,Weekday,1.5405000000000002,2.4095
9,Male,5.47,Tablet,True,0.6,"Poor Sleep, Eye Strain, Obesity Risk",Rural,6-10,2025-10-09,Weekday,3.2819999999999996,2.188
17,Male,6.86,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,16-20,2025-10-21,Weekday,2.6754000000000002,4.1846
10,Male,4.74,Smartphone,True,0.45,None,Urban,6-10,2025-10-24,Weekday,2.133,2.607
10,Male,4.05,Smartphone,True,0.55,Poor Sleep,Rural,6-10,2025-10-31,Weekday,2.2275,1.8224999999999998
12,Female,5.4,TV,True,0.31,Poor Sleep,Rural,11-15,2025-10-07,Weekday,1.6740000000000002,3.726
12,Female,5.82,Laptop,True,0.38,"Poor Sleep, Anxiety",Urban,11-15,2025-10-27,Weekday,2.2116000000000002,3.6084
9,Female,4.3,Tablet,True,0.45,Poor Sleep,Urban,6-10,2025-10-19,Weekend,1.935,2.3649999999999998
17,Female,4.22,TV,True,0.37,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-04,Weekend,1.5614,2.6586
13,Female,4.89,Laptop,True,0.42,"Eye Strain, Anxiety",Urban,11-15,2025-10-15,Weekday,2.0538,2.8362
12,Female,4.28,TV,True,0.39,Poor Sleep,Rural,11-15,2025-10-11,Weekend,1.6692000000000002,2.6108000000000002
13,Male,3.83,Smartphone,True,0.43,None,Urban,11-15,2025-10-09,Weekday,1.6469,2.1831
8,Female,5.22,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-19,Weekend,2.4012,2.8188
12,Female,4.48,Tablet,True,0.49,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-06,Weekday,2.1952000000000003,2.2848
16,Male,1.75,TV,False,0.35,None,Urban,16-20,2025-10-08,Weekday,0.6124999999999999,1.1375000000000002
17,Male,3.17,TV,True,0.45,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-11,Weekend,1.4265,1.7434999999999998
9,Male,0.79,Smartphone,False,0.51,None,Rural,6-10,2025-10-31,Weekday,0.40290000000000004,0.3871
8,Male,5.84,Tablet,True,0.47,None,Urban,6-10,2025-10-06,Weekday,2.7447999999999997,3.0952
17,Male,2.23,Laptop,False,0.42,None,Urban,16-20,2025-10-12,Weekend,0.9366,1.2934
18,Female,4.31,TV,True,0.41,Eye Strain,Urban,16-20,2025-10-30,Weekday,1.7670999999999997,2.5429
16,Male,6.01,Laptop,True,0.4,None,Urban,16-20,2025-10-04,Weekend,2.404,3.606
17,Female,6.0,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-11,Weekend,2.4000000000000004,3.5999999999999996
16,Female,2.61,Smartphone,False,0.41,None,Urban,16-20,2025-10-02,Weekday,1.0700999999999998,1.5399
16,Female,4.13,TV,True,0.34,None,Urban,16-20,2025-10-25,Weekend,1.4042000000000001,2.7257999999999996
13,Female,4.14,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-21,Weekday,1.3661999999999999,2.7737999999999996
15,Male,6.83,Tablet,True,0.31,Anxiety,Rural,11-15,2025-10-06,Weekday,2.1173,4.7127
18,Female,4.55,Laptop,True,0.46,Poor Sleep,Urban,16-20,2025-10-01,Weekday,2.093,2.457
8,Female,7.22,TV,True,0.56,None,Urban,6-10,2025-10-03,Weekday,4.043200000000001,3.176799999999999
17,Male,5.7,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-21,Weekday,2.85,2.85
11,Female,5.55,Smartphone,True,0.36,None,Urban,11-15,2025-10-12,Weekend,1.9979999999999998,3.552
8,Female,2.23,Smartphone,True,0.55,None,Urban,6-10,2025-10-22,Weekday,1.2265000000000001,1.0034999999999998
15,Female,4.2,Smartphone,True,0.43,Poor Sleep,Urban,11-15,2025-10-09,Weekday,1.806,2.394
8,Male,4.48,Smartphone,True,0.43,Eye Strain,Rural,6-10,2025-10-22,Weekday,1.9264000000000001,2.5536000000000003
10,Female,3.53,Smartphone,True,0.47,Poor Sleep,Urban,6-10,2025-10-11,Weekend,1.6590999999999998,1.8709
11,Male,3.46,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-15,Weekday,1.4185999999999999,2.0414000000000003
15,Male,5.33,Smartphone,True,0.33,Poor Sleep,Urban,11-15,2025-10-19,Weekend,1.7589000000000001,3.5711
13,Female,3.45,TV,True,0.45,Eye Strain,Rural,11-15,2025-10-21,Weekday,1.5525000000000002,1.8975
17,Male,4.47,Smartphone,True,0.49,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-03,Weekday,2.1902999999999997,2.2797
14,Female,2.89,Smartphone,False,0.34,None,Rural,11-15,2025-10-19,Weekend,0.9826000000000001,1.9074
15,Male,3.44,Tablet,True,0.5,Eye Strain,Urban,11-15,2025-10-07,Weekday,1.72,1.72
9,Male,6.14,Tablet,True,0.56,Eye Strain,Urban,6-10,2025-10-25,Weekend,3.4384,2.7015999999999996
17,Female,4.7,Smartphone,True,0.39,Poor Sleep,Urban,16-20,2025-10-03,Weekday,1.8330000000000002,2.867
18,Male,2.68,Smartphone,False,0.4,None,Urban,16-20,2025-10-26,Weekend,1.072,1.608
15,Male,5.16,Laptop,True,0.31,Poor Sleep,Urban,11-15,2025-10-12,Weekend,1.5996000000000001,3.5604
10,Male,0.0,TV,False,0.54,None,Rural,6-10,2025-10-30,Weekday,0.0,0.0
14,Male,3.62,Smartphone,True,0.31,"Poor Sleep, Eye Strain",Rural,11-15,2025-10-05,Weekend,1.1222,2.4978
10,Male,1.64,Smartphone,False,0.43,None,Urban,6-10,2025-10-11,Weekend,0.7051999999999999,0.9348
14,Male,3.9,Smartphone,True,0.38,None,Urban,11-15,2025-10-09,Weekday,1.482,2.418
18,Male,4.58,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-14,Weekday,2.0152,2.5648
9,Male,6.77,TV,True,0.5,Eye Strain,Urban,6-10,2025-10-17,Weekday,3.385,3.385
17,Male,3.7,TV,True,0.39,Poor Sleep,Urban,16-20,2025-10-14,Weekday,1.443,2.257
13,Male,4.32,Laptop,True,0.3,"Eye Strain, Obesity Risk",Urban,11-15,2025-10-13,Weekday,1.296,3.024
10,Male,2.41,Tablet,True,0.51,None,Urban,6-10,2025-10-25,Weekend,1.2291,1.1809
10,Male,6.08,TV,True,0.5,"Poor Sleep, Anxiety, Obesity Risk",Rural,6-10,2025-10-28,Weekday,3.04,3.04
16,Male,1.69,Tablet,False,0.31,None,Rural,16-20,2025-10-22,Weekday,0.5239,1.1661
14,Male,4.86,Laptop,True,0.4,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,11-15,2025-10-13,Weekday,1.9440000000000002,2.9160000000000004
12,Male,4.84,Smartphone,True,0.41,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15,2025-10-01,Weekday,1.9843999999999997,2.8556
17,Female,4.69,Laptop,True,0.34,"Poor Sleep, Anxiety",Urban,16-20,2025-10-09,Weekday,1.5946000000000002,3.0954
14,Male,3.09,TV,True,0.36,None,Urban,11-15,2025-10-05,Weekend,1.1123999999999998,1.9776
16,Male,5.02,TV,True,0.34,Eye Strain,Rural,16-20,2025-10-14,Weekday,1.7067999999999999,3.3131999999999997
8,Male,2.52,Smartphone,True,0.53,None,Urban,6-10,2025-10-22,Weekday,1.3356000000000001,1.1844
14,Male,4.77,Smartphone,True,0.34,None,Urban,11-15,2025-10-13,Weekday,1.6218,3.1481999999999997
13,Female,4.65,Smartphone,True,0.34,Poor Sleep,Urban,11-15,2025-10-15,Weekday,1.5810000000000002,3.069
17,Male,6.42,Smartphone,True,0.47,"Eye Strain, Obesity Risk",Urban,16-20,2025-10-20,Weekday,3.0174,3.4026
16,Male,3.74,Smartphone,True,0.47,"Poor Sleep, Anxiety",Urban,16-20,2025-10-12,Weekend,1.7578,1.9822000000000002
8,Male,2.79,Smartphone,True,0.44,None,Urban,6-10,2025-10-31,Weekday,1.2276,1.5624
11,Female,4.28,Laptop,True,0.5,None,Rural,11-15,2025-10-11,Weekend,2.14,2.14
16,Male,7.11,Laptop,True,0.42,Anxiety,Rural,16-20,2025-10-08,Weekday,2.9862,4.1238
11,Female,4.87,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-25,Weekend,2.0941,2.7759
17,Male,4.09,TV,True,0.36,"Poor Sleep, Anxiety",Urban,16-20,2025-10-30,Weekday,1.4724,2.6176
10,Male,1.85,Smartphone,False,0.43,None,Urban,6-10,2025-10-28,Weekday,0.7955,1.0545
16,Male,2.56,TV,False,0.47,None,Rural,16-20,2025-10-25,Weekend,1.2032,1.3568
9,Male,2.14,TV,True,0.58,None,Urban,6-10,2025-10-12,Weekend,1.2412,0.8988
11,Female,4.23,Smartphone,True,0.41,"Poor Sleep, Anxiety, Obesity Risk",Urban,11-15,2025-10-06,Weekday,1.7343000000000002,2.4957000000000003
13,Male,4.77,Laptop,True,0.48,None,Rural,11-15,2025-10-04,Weekend,2.2895999999999996,2.4804
9,Male,3.68,Smartphone,True,0.52,Poor Sleep,Urban,6-10,2025-10-04,Weekend,1.9136000000000002,1.7664
15,Male,5.96,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,11-15,2025-10-25,Weekend,2.9204,3.0396
15,Female,6.59,Smartphone,True,0.31,Anxiety,Rural,11-15,2025-10-14,Weekday,2.0429,4.5471
8,Male,5.03,Smartphone,True,0.58,None,Urban,6-10,2025-10-20,Weekday,2.9173999999999998,2.1126000000000005
10,Female,3.59,Tablet,True,0.46,"Poor Sleep, Obesity Risk",Urban,6-10,2025-10-14,Weekday,1.6514,1.9385999999999999
17,Male,3.03,TV,True,0.5,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-16,Weekday,1.515,1.515
16,Male,4.98,Smartphone,True,0.35,"Poor Sleep, Anxiety",Urban,16-20,2025-10-14,Weekday,1.743,3.237
12,Male,2.97,Smartphone,False,0.38,None,Urban,11-15,2025-10-20,Weekday,1.1286,1.8414000000000001
13,Female,5.59,Laptop,True,0.33,"Poor Sleep, Anxiety",Rural,11-15,2025-10-13,Weekday,1.8447,3.7453
11,Female,4.9,Smartphone,True,0.33,Poor Sleep,Urban,11-15,2025-10-12,Weekend,1.6170000000000002,3.2830000000000004
17,Male,6.71,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-21,Weekday,3.1536999999999997,3.5563000000000002
9,Female,2.79,Smartphone,True,0.49,None,Urban,6-10,2025-10-23,Weekday,1.3671,1.4229
18,Female,4.71,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-25,Weekend,2.1666,2.5434
15,Female,4.06,TV,True,0.48,"Poor Sleep, Eye Strain, Anxiety",Urban,11-15,2025-10-17,Weekday,1.9487999999999996,2.1112
18,Female,5.42,Laptop,True,0.3,Eye Strain,Urban,16-20,2025-10-19,Weekend,1.626,3.794
13,Female,6.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-13,Weekday,2.5174,3.6226
12,Male,4.44,TV,True,0.35,Eye Strain,Urban,11-15,2025-10-24,Weekday,1.554,2.886
16,Male,4.16,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-05,Weekend,1.8304,2.3296
8,Male,6.48,Tablet,True,0.54,None,Rural,6-10,2025-10-30,Weekday,3.4992000000000005,2.9808
12,Female,4.86,Smartphone,True,0.35,None,Urban,11-15,2025-10-29,Weekday,1.701,3.1590000000000003
13,Male,3.79,Smartphone,True,0.32,Poor Sleep,Urban,11-15,2025-10-15,Weekday,1.2128,2.5772
12,Male,3.96,Tablet,True,0.46,Poor Sleep,Rural,11-15,2025-10-24,Weekday,1.8216,2.1384
13,Female,6.34,Laptop,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,11-15,2025-10-06,Weekday,3.0431999999999997,3.2968
13,Male,3.47,Tablet,True,0.38,Poor Sleep,Urban,11-15,2025-10-19,Weekend,1.3186,2.1514
14,Male,5.32,TV,True,0.35,None,Urban,11-15,2025-10-04,Weekend,1.8619999999999999,3.458
11,Female,6.2,TV,True,0.46,"Poor Sleep, Anxiety",Urban,11-15,2025-10-14,Weekday,2.8520000000000003,3.348
18,Male,5.73,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban,16-20,2025-10-11,Weekend,2.0055,3.7245000000000004
15,Male,6.77,Smartphone,True,0.43,"Eye Strain, Anxiety",Urban,11-15,2025-10-16,Weekday,2.9111,3.8588999999999998
14,Female,4.51,TV,True,0.41,None,Rural,11-15,2025-10-03,Weekday,1.8490999999999997,2.6609
16,Male,3.72,Smartphone,True,0.43,"Eye Strain, Anxiety, Obesity Risk",Urban,16-20,2025-10-12,Weekend,1.5996000000000001,2.1204
14,Male,4.96,Laptop,True,0.41,Poor Sleep,Urban,11-15,2025-10-24,Weekday,2.0336,2.9264
